1,1/22/2020,Afghanistan,AFG,0,0,0
2,1/22/2020,Albania,ALB,0,0,0
3,1/22/2020,Algeria,DZA,0,0,0
4,1/22/2020,Andorra,AND,0,0,0
5,1/22/2020,Angola,AGO,0,0,0
6,1/22/2020,Antigua and Barbuda,ATG,0,0,0
7,1/22/2020,Argentina,ARG,0,0,0
8,1/22/2020,Armenia,ARM,0,0,0
9,1/22/2020,Australia,AUS,0,0,0
10,1/22/2020,Austria,AUT,0,0,0
11,1/22/2020,Azerbaijan,AZE,0,0,0
12,1/22/2020,Bahamas,BHS,0,0,0
13,1/22/2020,Bahrain,BHR,0,0,0
14,1/22/2020,Bangladesh,BGD,0,0,0
15,1/22/2020,Barbados,BRB,0,0,0
16,1/22/2020,Belarus,BLR,0,0,0
17,1/22/2020,Belgium,BEL,0,0,0
18,1/22/2020,Belize,BLZ,0,0,0
19,1/22/2020,Benin,BEN,0,0,0
20,1/22/2020,Bhutan,BTN,0,0,0
21,1/22/2020,Bolivia,BOL,0,0,0
22,1/22/2020,Bosnia and Herzegovina,BIH,0,0,0
23,1/22/2020,Botswana,BWA,0,0,0
24,1/22/2020,Brazil,BRA,0,0,0
25,1/22/2020,Brunei,BRN,0,0,0
26,1/22/2020,Bulgaria,BGR,0,0,0
27,1/22/2020,Burkina Faso,BFA,0,0,0
28,1/22/2020,Burma,MMR,0,0,0
29,1/22/2020,Burundi,BDI,0,0,0
30,1/22/2020,Cabo Verde,CPV,0,0,0
31,1/22/2020,Cambodia,KHM,0,0,0
32,1/22/2020,Cameroon,CMR,0,0,0
33,1/22/2020,Canada,CAN,0,0,0
34,1/22/2020,Central African Republic,CAF,0,0,0
35,1/22/2020,Chad,TCD,0,0,0
36,1/22/2020,Chile,CHL,0,0,0
37,1/22/2020,China,CHN,548,28,17
38,1/22/2020,Colombia,COL,0,0,0
39,1/22/2020,Congo (Brazzaville),COG,0,0,0
40,1/22/2020,Congo (Kinshasa),COD,0,0,0
41,1/22/2020,Costa Rica,CRI,0,0,0
42,1/22/2020,Cote d'Ivoire,CIV,0,0,0
43,1/22/2020,Croatia,HRV,0,0,0
44,1/22/2020,Cuba,CUB,0,0,0
45,1/22/2020,Cyprus,CYP,0,0,0
46,1/22/2020,Czechia,CZE,0,0,0
47,1/22/2020,Denmark,DNK,0,0,0
48,1/22/2020,Diamond Princess,,0,0,0
49,1/22/2020,Djibouti,DJI,0,0,0
50,1/22/2020,Dominica,DMA,0,0,0
51,1/22/2020,Dominican Republic,DOM,0,0,0
52,1/22/2020,Ecuador,ECU,0,0,0
53,1/22/2020,Egypt,EGY,0,0,0
54,1/22/2020,El Salvador,SLV,0,0,0
55,1/22/2020,Equatorial Guinea,GNQ,0,0,0
56,1/22/2020,Eritrea,ERI,0,0,0
57,1/22/2020,Estonia,EST,0,0,0
58,1/22/2020,Eswatini,SWZ,0,0,0
59,1/22/2020,Ethiopia,ETH,0,0,0
60,1/22/2020,Fiji,FJI,0,0,0
61,1/22/2020,Finland,FIN,0,0,0
62,1/22/2020,France,FRA,0,0,0
63,1/22/2020,Gabon,GAB,0,0,0
64,1/22/2020,Gambia,GMB,0,0,0
65,1/22/2020,Georgia,GEO,0,0,0
66,1/22/2020,Germany,DEU,0,0,0
67,1/22/2020,Ghana,GHA,0,0,0
68,1/22/2020,Greece,GRC,0,0,0
69,1/22/2020,Grenada,GRD,0,0,0
70,1/22/2020,Guatemala,GTM,0,0,0
71,1/22/2020,Guinea,GIN,0,0,0
72,1/22/2020,Guinea-Bissau,GNB,0,0,0
73,1/22/2020,Guyana,GUY,0,0,0
74,1/22/2020,Haiti,HTI,0,0,0
75,1/22/2020,Holy See,VAT,0,0,0
76,1/22/2020,Honduras,HND,0,0,0
77,1/22/2020,Hungary,HUN,0,0,0
78,1/22/2020,Iceland,ISL,0,0,0
79,1/22/2020,India,IND,0,0,0
80,1/22/2020,Indonesia,IDN,0,0,0
81,1/22/2020,Iran,IRN,0,0,0
